id,long(cm),short(cm)
2326,12.146547371944852,10.786283119499613
2327,11.867975323702266,11.055940201064027
2328,12.45103414358768,11.598389453246897
2329,9.184189129503396,6.2021127675405445
2463,10.78965331569648,10.530445529073694
2464,12.954770579581174,12.407156296255645
2465,11.328807022155422,10.516626021386436
2466,10.230114447299727,9.002043053127293
2330,11.924106970818855,10.707896674053366
2193,12.410606562257527,10.230114443728723
2194,12.186800248345847,12.174651093443725
2195,11.0867616600342,10.43485765017068
2196,11.3040663389091,10.652157166775154
2331,10.000264651260018,9.802267237165573
2332,10.649939574485352,10.441646019081228
2467,12.20236938750224,11.376962994503605
2468,10.652157153263403,9.348392255532168
2469,12.839963152683312,12.173299957402916
2197,12.613543376589964,11.086761627732024
2198,11.736668120928215,11.301976696961745
2199,12.179119413468902,11.52752120742702
2333,9.782971411835428,9.13886358061708
2334,11.335365175982412,10.652157169553321
2335,11.093151087874764,10.649939573304973
2336,10.21524818137877,8.70468872628373
2470,11.985586036463802,10.869458518538924
2471,11.744715186823552,11.521372618622063
2472,9.565680558123756,9.1517770525512
2200,10.903566183806701,10.286609401338055
2201,10.730542665380606,10.326203619635491
2202,11.938539558551941,10.528370234202896
2337,11.53396157031941,11.329867917455687
2338,10.11595350449532,8.133125943686778
2339,10.844377624183686,10.551671748056416
2473,12.139144180687552,11.129387951539956
2474,7.746624902647804,7.1112171111167495
2475,6.919088258356049,6.275817865580609
2476,11.080341055226123,10.461511119863479
2203,12.749770208832581,12.094529952583976
2204,7.778054028355613,6.482811043589633
2205,9.721218114831222,8.095415236250627
2340,10.807322954332783,10.150766202916301
2341,10.366739958630438,9.728412801211116
2342,8.854923715668505,8.854923705247169
2477,11.886407195886484,11.014661184589016
2478,11.232711434716467,10.617916157073239
2479,11.896213662052643,9.718818733698875
2206,11.778087988773141,10.597289969502091
2599,10.59982053801706,10.450557101956614
2600,12.990109914322018,11.65722860496976
2601,12.896875208159361,12.725520257039086
2602,12.310061186799976,10.862412358050547
2603,11.028666555682712,10.835589636108837
2604,9.474388808240798,9.003731497646612
2605,11.037127945268644,10.720206351398275
2606,13.212057042345265,12.276163905356324
2607,11.465027780051436,10.977871549171347
2608,9.47110991806921,7.979564910885157
2609,12.12852895504976,11.467736623903658
2610,9.474388808823363,9.221870179189564
2611,10.541614999830383,10.299379225609021
2612,12.548286935274861,12.307333650548575
2613,9.648410623175382,9.175809567125278
2614,10.620891567669938,10.36880162906029
2615,15.703420018855121,15.191500073443462
2616,11.825449296556636,11.343597749240656
2617,11.818071475072871,10.620891586090284
2618,10.127666714798568,9.91296250910095
981,11.108876438970116,10.680068291083849
982,10.099068459380875,9.495272837230196
983,12.12056523021202,11.91861235918246
1116,12.928385506869109,10.914472140638424
1117,9.930008874374876,9.89708709858312
1118,10.724447660647147,9.249908103725671
1119,11.148443839597705,10.685611634765895
1254,10.926282926906596,10.683293451498011
1255,11.796136561480804,11.13065615896716
1256,11.804532357155265,11.804532345926113
1257,10.905862076979428,10.47019154644841
984,8.012470104247518,6.23192119514168
986,12.694218007529562,10.463092334255432
1120,10.720324053691135,9.573038050428345
1121,13.139090759761391,12.243296972630766
1122,10.908132943629845,10.240575161537217
1258,12.908979588805087,12.694218020828234
1260,11.163984877125555,11.137329905728171
1392,12.198731096353072,11.265013180206727
1393,11.912715185738731,11.481568687570475
1394,12.131243735972314,11.065430700604336
1529,11.070128757451,9.900663191564298
1530,11.865121484393336,10.876156878747972
1531,7.1840761001656315,6.016893646735903
1667,11.635083990291548,10.893807094306961
1668,9.658590169208004,9.398583677243892
1669,11.154607370099127,10.638114971274328
1395,11.511035171287354,11.339338674364194
1396,11.002172818606775,9.866655681332578
1397,12.178736127972579,11.585080919808863
1532,5.8931444306211525,5.69692803508886
1533,11.402310401604742,9.084332539052662
1534,10.014709042089805,9.622129348920133
1398,10.941336977329378,10.091916146127673
1535,10.2654572622802,9.962056163539664
1670,7.740293744474474,7.176177212096123
1671,7.965317991312998,7.05794550613996
1672,10.343715589851996,9.725311136604924
1673,10.347935762920367,9.945057214867283
1799,11.166039614973283,10.012783043634816
1800,12.32716184988902,9.656649975109218
1932,10.203450006618997,9.820301409239029
1933,12.707641410861664,10.975210314369836
1934,12.550633175293683,10.864903906165745
2070,13.092634370322509,12.712015577990929
2071,12.321147161838262,11.936111323102546
2072,12.122386799604337,11.388515375911306
1801,12.077188209537116,11.632400793951058
1802,11.42986483182935,10.980784282694495
1803,11.200052571315688,9.458865555761758
1804,11.193601568848448,9.8772470869748
1935,12.087152061539307,12.069211204673485
1936,13.402030851015374,11.413000400760664
1937,11.682808007344567,10.925629023567176
1938,12.570771836063777,11.67027408681156
